var,workspace_name,method,RMSE,SRR,MAE,Correlation Coefficient,Mean Error,Maximum Error,SSIM
HGT,FPZip_12,fpzip,36.75662,-0.026328819,31.639734,0.9769774172712652,31.639734,63.99939,0.9600954609545105
HGT,FPZip_24,fpzip,0.009000875,-8.599133e-08,0.007783948,0.9999999986216922,0.007783948,0.015563965,1.0000000097332453
HGT,ZFPY_12,zfpy,1.1690174,-0.0001565987,0.91205364,0.9999097562213786,-0.1703403,12.082642,0.9998469647466348
HGT,ZFPY_24,zfpy,0.0003393094,0.0,0.00026643672,0.9999999999923743,-4.352472e-05,0.0029907227,1.0000000221617271
U10,FPZip_12,fpzip,0.13878487,0.06359784,0.09165871,0.9994837949075358,-0.05967087,0.99999905,0.9970529248246812
U10,FPZip_24,fpzip,3.506808e-05,1.5478354e-05,2.299864e-05,0.9999999999687468,-1.4966486e-05,0.00024318695,1.0000000079546179
U10,ZFPY_12,zfpy,0.016534438,0.00014892929,0.0109356465,0.9999752874151092,-0.00092489546,0.27373314,0.999927181828997
U10,ZFPY_24,zfpy,4.167661e-06,0.0,2.7507763e-06,0.9999999999984346,-2.2323876e-07,6.246567e-05,1.0000000079702465
V10,FPZip_12,fpzip,0.19365498,0.065103166,0.1260098,0.999451507181902,-0.08465778,0.99999905,0.9951073075046531
V10,FPZip_24,fpzip,4.8830534e-05,1.651024e-05,3.1597803e-05,0.9999999999671442,-2.1222113e-05,0.00024318695,1.00000000092358
V10,ZFPY_12,zfpy,0.020372286,0.00018676107,0.013336087,0.9999795805160838,-0.0011516222,0.27774572,0.9998755479960756
V10,ZFPY_24,zfpy,5.2523696e-06,1.7198263e-07,3.4068185e-06,0.9999999999986454,-2.794062e-07,6.580353e-05,1.0000000022650277
